adapter_id,from_schema,to_schema,region,latency_ms,quality_loss_ppm,cost_micros
a-01,crm-v1,bridge-a,*,45,40,1200
a-01,crm-v1,bridge-a,*,45,40,1200
a-02,crm-v1,bridge-b,*,15,180,700
a-03,bridge-a,warehouse-v3,*,60,70,1500
a-04,bridge-b,warehouse-v3,*,120,40,500
a-05,bridge-b,bridge-c,us,25,20,600
a-06,bridge-c,warehouse-v3,us,30,20,700
a-07,crm-v1,crm-v2,*,12,5,900
a-08,crm-v2,warehouse-v2,eu,45,10,800
a-09,warehouse-v2,warehouse-v3,*,20,15,550
a-10,bridge-a,bridge-b,*,10,10,250
a-11,bridge-b,bridge-a,*,10,10,250
a-12,warehouse-v3,analytics-v4,*,35,30,1000
a-13,crm-v2,billing-v1,*,30,15,650
a-14,billing-v1,warehouse-v3,*,75,90,400
a-15,crm-v1,legacy-export,*,5,500,100
a-16,legacy-export,warehouse-v3,*,25,500,100
a-17,crm-v1,bridge-a,*,45,40,1200
a-18,crm-v2,bridge-c,us,25,25,750
