shipment_id,site,lane_id,slot_start,required_capability,earliest_start,latest_start,priority
S-101,JFK,JFK-01,2026-09-04T09:00:00Z,cold,2026-09-04T08:45:00Z,2026-09-04T09:30:00Z,10
S-102,JFK,JFK-01,2026-09-04T09:15:00Z,general,2026-09-04T09:00:00Z,2026-09-04T09:45:00Z,7
S-103,JFK,JFK-01,2026-09-04T09:30:00Z,cold,2026-09-04T09:15:00Z,2026-09-04T10:00:00Z,9
S-104,JFK,JFK-02,2026-09-04T09:00:00Z,general,2026-09-04T08:45:00Z,2026-09-04T09:30:00Z,5
S-105,JFK,JFK-02,2026-09-04T09:15:00Z,general,2026-09-04T09:00:00Z,2026-09-04T09:45:00Z,6
S-106,JFK,JFK-02,2026-09-04T09:30:00Z,general,2026-09-04T09:15:00Z,2026-09-04T10:00:00Z,3
S-107,JFK,JFK-03,2026-09-04T09:00:00Z,hazmat,2026-09-04T08:45:00Z,2026-09-04T09:45:00Z,11
S-108,JFK,JFK-03,2026-09-04T09:15:00Z,general,2026-09-04T09:00:00Z,2026-09-04T09:45:00Z,4
S-109,JFK,JFK-04,2026-09-04T08:45:00Z,cold,2026-09-04T08:30:00Z,2026-09-04T09:15:00Z,8
S-110,JFK,JFK-04,2026-09-04T09:00:00Z,hazmat,2026-09-04T08:45:00Z,2026-09-04T09:30:00Z,8
S-111,JFK,JFK-04,2026-09-04T09:15:00Z,cold,2026-09-04T09:00:00Z,2026-09-04T09:45:00Z,2
S-112,JFK,JFK-04,2026-09-04T09:30:00Z,general,2026-09-04T09:15:00Z,2026-09-04T10:00:00Z,5
S-113,JFK,JFK-05,2026-09-04T09:00:00Z,cold-chain,2026-09-04T09:00:00Z,2026-09-04T09:30:00Z,6
S-114,JFK,JFK-05,2026-09-04T09:15:00Z,general,2026-09-04T09:00:00Z,2026-09-04T09:45:00Z,1
S-201,EWR,EWR-01,2026-09-04T09:00:00Z,cold,2026-09-04T08:45:00Z,2026-09-04T09:30:00Z,6
S-202,EWR,EWR-02,2026-09-04T09:00:00Z,hazmat,2026-09-04T08:45:00Z,2026-09-04T09:30:00Z,9
