batch_id,scan_id,parcel_id,return_id_hint,event_kind,warehouse,scanned_at,ingested_at
BATCH-0916-A,S-001,PKG-A1,RET-1001,received,LAX,2026-09-16T15:00:00Z,2026-09-16T15:01:00Z
BATCH-0916-A,S-002,PKG-A2,,received,LAX,2026-09-16T15:05:00Z,2026-09-16T15:06:00Z
BATCH-0916-A,S-003,PKG-C2,RET-1003,received,SFO,2026-09-16T16:00:00Z,2026-09-16T16:01:00Z
BATCH-0916-A,S-003,PKG-C2,RET-1003,received,SFO,2026-09-16T16:00:00Z,2026-09-16T16:01:00Z
BATCH-0916-A,S-004,PKG-X9,,received,LAX,2026-09-16T16:10:00Z,2026-09-16T16:11:00Z
BATCH-0916-A,S-005,PKG-C3,RET-1003,received,LAX,2026-09-16T16:12:00Z,2026-09-16T16:13:00Z
BATCH-0916-A,S-006,PKG-E2,RET-1005,received,SEA,not-a-time,2026-09-16T16:14:00Z
BATCH-0916-B,S-101,PKG-E2,RET-1005,received,SEA,2026-09-17T10:00:00Z,2026-09-17T10:02:00Z
BATCH-0916-B,S-102,PKG-C1,RET-1003,retracted,SFO,2026-09-17T10:05:00Z,2026-09-17T10:06:00Z
BATCH-0916-B,S-103,PKG-C2,RET-1003,received,SFO,2026-09-17T10:04:00Z,2026-09-17T10:07:00Z
BATCH-0916-B,S-103,PKG-C2,RET-1003,retracted,SFO,2026-09-17T10:08:00Z,2026-09-17T10:09:00Z
BATCH-0916-B,S-104,PKG-A2,RET-1004,received,SFO,2026-09-17T11:00:00Z,2026-09-17T11:01:00Z
BATCH-0916-C,S-201,PKG-B1,RET-1002,retracted,LAX,2026-09-17T12:00:00Z,2026-09-17T12:01:00Z
BATCH-0916-C,S-202,PKG-OLD,RET-0999,received,SEA,2026-09-17T12:10:00Z,2026-09-17T12:11:00Z
BATCH-0916-C,S-203,PKG-E1,,mystery,SEA,2026-09-17T12:20:00Z,2026-09-17T12:21:00Z
