service_id,depends_on,kind
profile,identity,hard
checkout,identity,hard
checkout,pricing,hard
checkout,promotions,hard
promotions,pricing,hard
search,catalog,hard
recommendations,catalog,hard
recommendations,search,hard
orders,checkout,hard
orders,identity,hard
payments,orders,hard
payments,fraud,hard
fraud,identity,hard
notifications,orders,soft
analytics,orders,hard
analytics,catalog,soft
inventory,warehouse,hard
shipping,inventory,hard
shipping,routing,hard
returns,shipping,hard
routing,shipping,hard
legacy-sync,partner-feed,hard
partner-feed,legacy-sync,hard
checkout,pricing,hard
search,search,hard
ghost,identity,hard
checkout,missing-service,hard
