event_id,client_id,credential_id,occurred_at
e-eu-2,c-f,eu-card-2,2026-09-21T11:50:00+02:00
e-us-5,c-b,us-card-4,2026-09-21T10:00:00Z
e-us-2,c-a,us-card-1,2026-09-21T09:58:00Z
e-us-8,c-d,us-card-7,2026-09-21T09:59:00Z
e-us-1,c-a,us-card-1,2026-09-21T09:51:00Z
e-eu-3,c-g,eu-card-3,2026-09-21T09:45:00Z
e-us-7,c-c,us-card-6,2026-09-21T10:00:00Z
e-ap-1,c-h,ap-card-1,2026-09-21T09:47:30Z
e-us-4,c-b,us-card-3,2026-09-21T09:55:00Z
e-us-9,c-d,us-card-8,2026-09-21T09:59:00Z
e-eu-1,c-e,eu-card-1,2026-09-21T10:00:00Z
e-us-3,c-a,us-card-2,2026-09-21T09:59:00Z
e-us-6,c-c,us-card-5,2026-09-21T09:50:00Z
e-us-5,c-b,us-card-4,2026-09-21T10:00:00Z
e-ap-2,c-h,ap-card-1,2026-09-21T09:58:00Z
e-ap-3,c-h,ap-card-2,2026-09-21T09:59:30Z
e-eu-4,c-e,eu-card-1,2026-09-21T10:04:00Z
e-us-10,c-b,us-card-3,2026-09-21T10:01:00Z
