route_id,host_pattern,method,path_pattern,priority,upstream
r-global-fallback,*,ANY,/**,-100,legacy-default
r-api-health,api.acme.com,GET,/health,50,health-v2
r-api-user,api.acme.com,GET,/users/{id},20,user-read
r-api-user-any,api.acme.com,ANY,/users/{id},20,user-generic
r-api-user-admin,api.acme.com,GET,/users/admin,20,admin-read
r-api-user-files,api.acme.com,GET,/users/{id}/files/**,12,file-service
r-api-assets,api.acme.com,GET,/assets/**,5,asset-service
r-api-logo,api.acme.com,GET,/assets/logo.png,5,logo-service
r-wild-orders,*.acme.com,GET,/orders/{id},30,orders-shared
r-shop-orders,shop.acme.com,GET,/orders/{id},30,orders-shop
r-shop-order-events,shop.acme.com,GET,/orders/{id}/events,30,order-events
r-shop-order-wild,shop.acme.com,GET,/orders/*/events,30,order-events-fallback
r-shop-high-priority-catch,shop.acme.com,ANY,/orders/**,40,orders-emergency
r-partner-post,*.partner.example,POST,/v1/jobs/{job},15,partner-jobs
r-partner-fallback,*.partner.example,ANY,/v1/**,2,partner-legacy
r-root,api.acme.com,GET,/,1,root-service
r-api-health,api.acme.com,GET,/health,50,health-v2
