suggestion_id,document_id,page,start,end,category,confidence
sg-1001,doc-100,1,8,18,personal,0.91
sg-1002,doc-100,1,22,44,personal,0.98
sg-1003,doc-100,1,75,87,credentials,0.96
sg-1004,doc-100,1,105,114,financial,0.88
sg-1004,doc-100,1,105,114,financial,0.88
sg-1005,doc-100,1,68,82,personal,0.90
sg-1006,doc-100,2,30,41,personal,0.93
sg-1007,doc-100,2,56,76,personal,0.82
sg-1008,doc-100,2,70,84,personal,0.79
sg-2001,doc-200,1,14,24,financial,0.94
sg-2002,doc-200,1,46,50,financial,0.99
sg-2003,doc-200,1,83,95,credentials,0.97
sg-2004,doc-200,1,80,100,personal,0.85
sg-2005,doc-200,2,0,12,personal,0.92
sg-2006,doc-200,1,100,140,personal,0.91
sg-dup,doc-200,1,14,24,financial,0.70
sg-dup,doc-200,1,83,95,credentials,0.70
sg-3001,doc-300,1,18,27,personal,0.99
